destination,cuisine
"Albania, Durres",2.0
"Albania, Saranda",4.0
"Albania, Tirana",2.3333333333333335
"Argentina, Buenos Aires",4.666666666666667
"Argentina, Patagonia",4.0
"Australia, Melbourne",5.0
"Australia, Sydney",4.3076923076923075
"Austria, Innsbruck",4.333333333333333
"Austria, Salzburg",2.3333333333333335
"Austria, Vienna",3.888888888888889
"Belgium, Brussels",3.7142857142857144
"Brazil, Rio de Janeiro",4.571428571428571
"Bulgaria, Burgas",1.0
"Canada, Montreal",5.0
"Canada, Ontario",4.0
"Canada, Toronto",4.875
"Canada, Vancouver",4.666666666666667
"Chile, Santiago",4.0
"China, Beijing",4.0
"Croatia, Dubrovnik",3.0
"Croatia, Omis",4.0
"Croatia, Zadar",4.5
"Czech Republic, Prague",3.25
"Denmark, Copenhagen",4.222222222222222
"Egypt, Cairo",2.8
"Egypt, Luxor",4.0
"Estonia, Tallinn",3.0
"Finland, Helsinki",2.7142857142857144
"Finland, Lapland",3.0
"France, Bordeaux",4.0
"France, Cost Dazure",3.0
"France, Cote D'Azur",5.0
"France, Marseille",3.5
"France, Nice",4.111111111111111
"France, Paris",4.379310344827586
"France, Strasbourg",4.0
"Germany, Berlin",3.608695652173913
"Germany, Frankfurt",3.0
"Germany, Hamburg",3.6153846153846154
"Germany, Munich",3.3333333333333335
"Greece, Athens",4.6
"Greece, Crete",4.833333333333333
"Greece, Leptokarya",2.0
"Greece, Santorini",4.9
"Greece, Syros",4.25
"Greece, Thessaloniki",2.75
"Hungary, Budapest",4.0625
"Hungary, Fonyod",3.0
"Iceland, Akureyri",1.0
"Iceland, Reykjavik",3.4
"India, Goa",5.0
"Indonesia, Bali",5.0
"Ireland, Dublin",3.6666666666666665
"Italy, Bari",4.2
"Italy, Bologna",5.0
"Italy, Campania",5.0
"Italy, Como",4.5
"Italy, Emilia Romagna",5.0
"Italy, Florence",4.444444444444445
"Italy, Lecco",5.0
"Italy, Milan",4.05
"Italy, Naples",5.0
"Italy, Obereggen",4.333333333333333
"Italy, Orte",4.333333333333333
"Italy, Rome",4.608695652173913
"Italy, Sardinia",4.833333333333333
"Italy, Sicily",5.0
"Italy, Trento",4.5
"Italy, Tuscany",5.0
"Italy, Udine",5.0
"Italy, Venice",4.9411764705882355
"Japan, Kyoto",4.818181818181818
"Japan, Osaka",4.0
"Japan, Tokyo",4.739130434782608
"Jordan, Amman",5.0
"Jordan, Petra",3.6666666666666665
"Latvia, Riga",3.25
"Lithuania, Kaunas",5.0
"Lithuania, Vilnius",4.0
"Madagascar, Andasibe-Mantadia",3.0
"Malta, Valletta",2.3333333333333335
"Mexico, Cancun",4.75
"Mexico, Mexico City",4.0
"Montenegro, Kotor",3.1666666666666665
"Montenegro, Petrovac",1.0
"Morocco, Marrakesh",4.0
"Morocco, Saidia",3.0
"New Zealand, Queenstown",4.0
"Norway, Bergen",3.4
"Norway, Lunde",4.0
"Norway, Oslo",2.0
"Norway, Stavanger",2.0
"Peru, Lima",4.0
"Peru, Machu Picchu",3.0
"Poland, Cracow",4.6
"Poland, Gdansk",3.9285714285714284
"Poland, Karkonosze",5.0
"Poland, Karpacz",3.5
"Poland, Lodz",4.2
"Poland, Pomorze",3.0
"Poland, Poznan",4.0
"Poland, Szczawnica",3.0
"Poland, Tatra Mountains",4.333333333333333
"Poland, Torun",3.0
"Poland, Warsaw",5.0
"Poland, Zakopane",3.0
"Portugal, Algarve",4.333333333333333
"Portugal, Aveiro",4.0
"Portugal, Faro",4.0
"Portugal, Lisbon",4.235294117647059
"Portugal, Porto",4.222222222222222
"Slovakia, Bratislava",1.8
"Slovakia, Tatra Mountains",2.0
"Slovenia, Ljubljana",3.5
"South Africa, Cape Town",5.0
"South Korea, Busan",4.0
"South Korea, Seoul",4.0
"Spain, Alicante",4.125
"Spain, Andalucia",4.666666666666667
"Spain, Asturias",4.0
"Spain, Barcelona",4.6521739130434785
"Spain, Bilbao",4.0
"Spain, Costa Brava",4.4
"Spain, Costa del Sol",4.5
"Spain, Madrid",4.642857142857143
"Spain, Mallorca",4.166666666666667
"Spain, Santa Pola",5.0
"Sweden, Karlskrona",3.0
"Sweden, Malmo",3.0
"Sweden, Stockholm",3.5555555555555554
"Switzerland, Zermatt",3.2
"Switzerland, Zurich",2.75
"Thailand, Bangkok",4.333333333333333
"Thailand, Phuket",4.647058823529412
"The Bahamas, Nassau",3.0
"The Netherlands, Amsterdam",3.625
"The Netherlands, Delft",3.0
"The Netherlands, Enschede",1.0
"Turkey, Bodrum",2.75
"Turkey, Istanbul",3.764705882352941
"UAE, Dubai",3.6666666666666665
"UK, Edinburgh",3.5
"UK, London",3.0
"USA, Las Vegas",2.0
"USA, Los Angeles",4.777777777777778
"USA, New York City",4.391304347826087
"USA, Washington DC",3.0
"USA, West Coast",3.6666666666666665
"Vietnam, Hanoi",5.0
